newsId,Text
2291,Turkey: Family Rejects Body of Russian Ambassador Assassin - Breitbart
1270,"Expert: Obama Hacking Report Makes Him Question Whether DHS, FBI ’Know What They Are Doing’ - Breitbart"
1784,Defense Attorney: Illegal Alien Rockville Rape Suspect an ’Unjust Scapegoat by the Opponents of Recent Immigration Practices’
253,French Prime Minister Faults Times Article Giving Voice to Muslim Women - The New York Times
8961,"Donald Trump Is Sworn In as President, Capping His Swift Ascent - The New York Times"
260,Washington Post Promptly Declares Hillary’s Health ’Real Issue’ After Calling it ’Conspiracy’ - Breitbart
778,"Roger Stone: Bill Clinton Like Bill Cosby on Abusing Women, Then They Were ’Psychologically Abused by Hillary’ - Breitbart"
1291,Chris Christie Knocks Marco Rubio Off Script in New Hampshire - Breitbart
780,More Voices Raised to Defend Dr. Sebastian Gorka
4878,Three Women Catch Alleged ’Date Rape’ Drugger at Hotel
7438,’Suge’ Knight collapses after bail set at $25 million
788,Here’s why Trump is dominating despite a strong economy
2324,Nasdaq just dealt a huge blow to the cannabis industry
4886,Toni Morrison: White Voters ’Eagerly Embraced’ Trump Out of Fear of a ’Collapse of White Privilege’
2329,Republican lawmaker: Russia investigation needs special prosecutor
1307,Frank Gaffney: Charles Koch’s Isolationism Like ’A Lot Of American Businessmen’ ’Towards Nazi Germany Before World War II’ - Breitbart
288,Susan Rice slams Trump’s claim that Obama didn’t vet Michael Flynn
4896,New York explosion: What we know -- and don’t know
292,Obama Designates Gay Bar As Latest National Monument - Breitbart
293,Trump Casinos’ Tax Debt Was $30 Million. Then Christie Took Office. - The New York Times
296,One Robber’s 3 Life Sentences: ’90s Legacy Fills Prisons Today - The New York Times
2858,Imam drives for hours to pay tribute to Manchester attack victims
5418,Breitbart’s Aaron Klein: Kerry ‘Not Taken Seriously’ In Mideast
300,EMIRATES PRESIDENT: We don’t know if the US laptop ban will hurt business — but here’s how things went this weekend
2355,NEW HAMPSHIRE: Donald Trump with a tiny lead over Hillary Clinton
3897,"Dem Rep Schiff: ’I Believe’ There’s Evidence of Trump Camp-Russia Collusion, ’Premature’ to Say There Will Be No Proof - Breitbart"
316,Congressman Jim Jordan: All We’re Asking Is IRS Commissioner No Longer Holds His Job - Breitbart
318,Evan Spiegel on Facebook: ’Just because Yahoo has a search box doesn’t mean they’re Google’
5952,"Shock California Primary Poll: Trump 54, Cruz 20 - Breitbart"
5445,New Prince George photo released on eve of his birthday
329,Tragedy Made Steve Kerr See the World Beyond the Court - The New York Times
1356,Trump agrees ’not to terminate NAFTA at this time’
337,Observer: Sidney Blumenthal ’Was Reading Above-Top-Secret NSA Reports Hours After They Appeared’ - Breitbart
339,2 reasons California’s drought hasn’t caused food prices to skyrocket
344,"Report: White House may ask foreign visitors for social media info, cell phone contacts"
858,George Michael: Chart topper and cultural icon dead at 53
2396,Donald Trump Celebrates ‘America First’ Executive Order in Wisconsin - Breitbart
349,"Glenn Beck Blasts Drudge for Mocking His Fast, Quotes Bible to Encourage Indiana to ‘Turn Away’ from ‘Boasters’ and ‘Blasphemers’ Like Trump - Breitbart"
4963,"Tancredo: Over 300 Sanctuary Cities Are Costing State and Local Taxpayers over $7,000,000,000 Annually - Breitbart"
356,Black Lives Matter Protests Break Out Across America
357,Poll: Donald Trump Ties Hillary Clinton With Michael Bloomberg in a Three-Way Contest - Breitbart
2916,"Bill Kristol Announces, ’There Will Be An Independent Candidate’ - Breitbart"
2918,‘I Thought I Was Impervious to Scams’: Readers Denounce India’s Phone Swindlers - The New York Times
5989,Exclusive: Source Says Megyn Kelly ‘Would Not Be Welcomed Back’ at Fox News
1387,Trump: Russian meddling story an ’excuse’ for why Democrats lost
364,"Scarlett Johansson: Monogamy Not ‘Natural,’ ‘A Lot of Work’"
4973,"Tourist boat sinks in Malaysia, killing three"
367,Muslim Man Shoots Sister in Throat for Refusing Arranged Marriage
1393,The side effects of negative interest rates are ’fanning out across the globe’
377,Automakers are slowing their self-driving car plans — and that could be a good thing
